Commodity,Date,Unit,Minimum,Maximum,Average
Tomato Big(Nepali),6/16/2013,Kg,35,40,37.5
Tomato Small(Local),6/16/2013,Kg,26,32,29
Potato Red,6/16/2013,Kg,20,21,20.5
Potato White,6/16/2013,Kg,15,16,15.5
Onion Dry (Indian),6/16/2013,Kg,28,30,29
Carrot(Local),6/16/2013,Kg,30,35,32.5
Cabbage(Local),6/16/2013,Kg,6,10,8
Cauli Local,6/16/2013,Kg,30,35,32.5
Raddish Red,6/16/2013,Kg,35,40,37.5
Raddish White(Local),6/16/2013,Kg,25,30,27.5
Brinjal Long,6/16/2013,Kg,16,18,17
Brinjal Round,6/16/2013,Kg,20,22,21
Cow pea(Long),6/16/2013,Kg,20,25,22.5
Green Peas,6/16/2013,Kg,55,60,57.5
French Bean(Local),6/16/2013,Kg,25,30,27.5
Soyabean Green,6/16/2013,Kg,60,70,65
Bitter Gourd,6/16/2013,Kg,14,16,15
Bottle Gourd,6/16/2013,Kg,15,20,17.5
Pointed Gourd(Local),6/16/2013,Kg,30,35,32.5
Snake Gourd,6/16/2013,Kg,25,30,27.5
Smooth Gourd,6/16/2013,Kg,20,25,22.5
Sponge Gourd,6/16/2013,Kg,45,50,47.5
Pumpkin,6/16/2013,Kg,18,20,19
Squash(Long),6/16/2013,Kg,30,35,32.5
Turnip,6/16/2013,Kg,45,50,47.5
Okara,6/16/2013,Kg,20,25,22.5
Christophine,6/16/2013,Kg,38,40,39
Brd Leaf Mustard,6/16/2013,Kg,45,50,47.5
Spinach Leaf,6/16/2013,Kg,50,55,52.5
Cress Leaf,6/16/2013,Kg,55,60,57.5
Mustard Leaf,6/16/2013,Kg,40,45,42.5
Fenugreek Leaf,6/16/2013,Kg,55,60,57.5
Onion Green,6/16/2013,Kg,40,45,42.5
Mushroom(Kanya),6/16/2013,Kg,150,160,155
Asparagus,6/16/2013,Kg,100,150,125
Neuro,6/16/2013,Kg,50,60,55
Brocauli,6/16/2013,Kg,70,80,75
Sugarbeet,6/16/2013,Kg,35,40,37.5
Drumstick,6/16/2013,Kg,35,40,37.5
Red Cabbbage,6/16/2013,Kg,70,80,75
Lettuce,6/16/2013,Kg,55,60,57.5
Celery,6/16/2013,Kg,120,130,125
Parseley,6/16/2013,Kg,180,190,185
Fennel Leaf,6/16/2013,Kg,70,80,75
Mint,6/16/2013,Kg,120,130,125
Turnip A,6/16/2013,Kg,40,45,42.5
Tamarind,6/16/2013,Kg,65,70,67.5
Bamboo Shoot,6/16/2013,Kg,50,60,55
Tofu,6/16/2013,Kg,55,60,57.5
Gundruk,6/16/2013,Kg,180,190,185
Apple(Jholey),6/16/2013,Kg,100,120,110
Banana,6/16/2013,Doz,70,80,75
Lime,6/16/2013,Kg,200,400,300
Pomegranate,6/16/2013,Kg,200,220,210
Mango(Maldah),6/16/2013,Kg,50,60,55
Grapes(Green),6/16/2013,Kg,250,260,255
Water Melon(Green),6/16/2013,Kg,15,18,16.5
Sweet Orange,6/16/2013,Kg,90,100,95
Pineapple,6/16/2013,1 Pc,60,70,65
Cucumber(Local),6/16/2013,Kg,25,30,27.5
Jack Fruit,6/16/2013,Kg,20,25,22.5
Papaya(Nepali),6/16/2013,Kg,60,70,65
Sugarcane,6/16/2013,1 Pc,50,60,55
Ginger,6/16/2013,Kg,140,150,145
Chilli Dry,6/16/2013,Kg,170,180,175
Chilli Green,6/16/2013,Kg,30,40,35
Capsicum,6/16/2013,Kg,55,60,57.5
Garlic Green,6/16/2013,Kg,45,50,47.5
Coriander Green,6/16/2013,Kg,90,110,100
Garlic Dry Chinese,6/16/2013,Kg,100,110,105
Garlic Dry Nepali,6/16/2013,Kg,50,60,55
Clive Dry,6/16/2013,Kg,70,80,75
Clive Green,6/16/2013,Kg,70,80,75
Fish Fresh,6/16/2013,Kg,210,220,215
Tomato Big(Nepali),6/17/2013,Kg,25,30,27.5
Tomato Small(Local),6/17/2013,Kg,20,25,22.5
